centroid_col	centroid_row	timepoint	position_number	centroidNibble_w2Cy5_5	meanIntensity_w2Cy5_5	totalIntensity_w2Cy5_5	centroidNibble_w7YFP	meanIntensity_w7YFP	totalIntensity_w7YFP	area	solidity	group_number	relative_time
190	125	25	4	60.768115942029	20.1841712294674	40550	6.13043478260869	3.99800895968143	8032	2009	0.985770363101079	1	25954.5600056648
190	377	25	4	101.246376811594	21.5759202453988	28135	17.536231884058	6.45322085889571	8415	1304	0.974588938714499	1	25954.5600056648
199	432	25	4	76.1014492753623	19.906916612799	30796	15.463768115942	6.18939883645766	9575	1547	0.987236758136567	1	25954.5600056648
201	301	25	4	50.4782608695652	16.6557257476295	22835	18.9855072463768	7.75346462436178	10630	1371	0.984913793103448	1	25954.5600056648
221	203	25	4	56.9565217391304	18.0808977035491	34643	10.4202898550725	8.09498956158664	15510	1916	0.98559670781893	1	25954.5600056648
231	387	25	4	74.7391304347826	21.0970684039088	32384	50.2028985507246	16.3758957654723	25137	1535	0.968454258675079	1	25954.5600056648
243	81	25	4	50.4782608695652	15.8145875937287	23200	12.6376811594203	5.28220858895706	7749	1467	0.98721399730821	1	25954.5600056648
263	356	25	4	83.0289855072464	21.063670411985	33744	38.768115942029	14.0686641697878	22538	1602	0.981617647058823	1	25954.5600056648
267	314	25	4	42.3623188405797	14.1155853840418	18929	40.8260869565217	17.9895600298285	24124	1341	0.973149492017417	1	25954.5600056648
276	276	25	4	39.0289855072464	12.4902114330462	15950	56.6086956521739	22.3296789350039	28515	1277	0.977794793261868	1	25954.5600056648
294	134	25	4	40.6956521739131	14.74375	23590	13.3768115942029	6.551875	10483	1600	0.987654320987654	1	25954.5600056648
323	203	25	4	56.768115942029	17.1244209133024	25875	67.5652173913044	24.9007279947055	37625	1511	0.97546804389929	1	25954.5600056648
351	237	25	4	46.0144927536232	15.6580238262088	22344	44.1449275362319	17.1527680448493	24477	1427	0.973396998635743	1	25954.5600056648
364	423	25	4	11.6086956521739	12.1830269847478	31152	18.2463768115942	15.5807587016034	39840	2557	0.947739065974796	1	25954.5600056648
353	304	25	4	36.3188405797101	13.2471308339709	17314	42.5797101449275	17.0344299923489	22264	1307	0.988653555219365	1	25954.5600056648
368	374	25	4	19.0144927536232	10.456304619226	16751	9.17391304347826	6.31460674157303	10116	1602	0.970321017565112	1	25954.5600056648
393	341	25	4	9.11594202898551	4.37554585152838	1002	1.39130434782609	1.11353711790393	255	229	0.995652173913044	1	25954.5600056648
422	288	25	4	30.2608695652174	11.302676733013	16468	14.1304347826087	11.5950583390528	16894	1457	0.988466757123474	1	25954.5600056648
440	453	25	4	61.9130434782609	16.8616279069767	29002	87.7826086956522	31.8063953488372	54707	1720	0.981175128351398	1	25954.5600056648
436	495	25	4	12.1159420289855	7.17945383615085	5521	28.8260869565217	11.853055916775	9115	769	0.987163029525032	1	25954.5600056648
472	257	25	4	47.231884057971	14.573398215734	17969	26.7246376811594	10.7769667477697	13288	1233	0.984038308060654	1	25954.5600056648
488	483	25	4	66.4782608695652	19.5223255813954	41973	9	5.24697674418605	11281	2150	0.987144168962351	1	25954.5600056648
482	199	25	4	30.6811594202899	7.41389728096677	2454	1.69565217391304	0.978851963746224	324	331	0.985119047619048	1	25954.5600056648
504	302	25	4	30.9420289855072	11.5719091673675	13759	16.6521739130435	8.71825063078217	10366	1189	0.984271523178808	1	25954.5600056648
518	239	25	4	39.4202898550725	14.1881390593047	20814	53.3913043478261	20.8588957055215	30600	1467	0.985224983210208	1	25954.5600056648
516	379	25	4	27.6231884057971	11.2219626168224	14409	22.9565217391304	13.0225856697819	16721	1284	0.983908045977012	1	25954.5600056648
571	460	25	4	27.8985507246377	12.054441260745	16828	36.6086956521739	13.5551575931232	18923	1396	0.986572438162544	1	25954.5600056648
582	312	25	4	38.8115942028986	13.1337625178827	18361	35.0289855072464	15.4678111587983	21624	1398	0.985200845665962	1	25954.5600056648
597	387	25	4	41.6231884057971	15.316431322208	23863	24.5507246376812	10.0449293966624	15650	1558	0.984207201516109	1	25954.5600056648
640	396	25	4	55.3478260869565	17.1571815718157	25324	23.1884057971015	8.29945799457995	12250	1476	0.989939637826962	1	25954.5600056648
642	472	25	4	36.7826086956522	7.43093922651934	4035	1.27536231884058	1.2707182320442	690	543	0.985480943738657	1	25954.5600056648
53	231	26	4	29.304347826087	11.8314810028431	45776	38.8115942028986	22.6942362367537	87804	3869	0.978008088978766	1	27060.4800079018
48	487	26	4	36.0869565217391	12.9020907700153	25301	16.6811594202899	7.38908720040796	14490	1961	0.984932194876946	1	27060.4800079018
62	16	26	4	28.8840579710145	11.1467727674624	12607	53.8985507246377	29.0875331564987	32898	1131	0.973321858864028	1	27060.4800079018
77	52	26	4	45.5217391304348	16.2525578890684	30181	13.463768115942	5.31933225632741	9878	1857	0.968701095461659	1	27060.4800079018
87	424	26	4	5.69565217391304	4.40817717206133	12938	3	3.63441226575809	10667	2935	0.958210904342148	1	27060.4800079018
95	133	26	4	58.1449275362319	19.9337686567164	42738	8.55072463768116	3.72621268656716	7989	2144	0.987108655616943	1	27060.4800079018
95	355	26	4	7.1304347826087	5.43511450381679	1424	29.5217391304348	27.8625954198473	7300	262	0.984962406015038	1	27060.4800079018
103	8	26	4	12.463768115942	9.26535626535627	3771	38.8550724637681	26.0687960687961	10610	407	0.987864077669903	1	27060.4800079018
104	313	26	4	7.72463768115942	5.56304985337243	3794	51.4347826086957	29.5923753665689	20182	682	0.981294964028777	1	27060.4800079018
110	503	26	4	22.5507246376812	13.3986577181208	9982	9.84057971014493	6.76375838926174	5039	745	0.988063660477454	1	27060.4800079018
127	246	26	4	61.6086956521739	19.641281512605	37397	39.8985507246377	16.6150210084034	31635	1904	0.987551867219917	1	27060.4800079018
131	63	26	4	22.0724637681159	9.46509009009009	16810	17.463768115942	15.0365990990991	26705	1776	0.982844493635861	1	27060.4800079018
131	335	26	4	7.18840579710145	5.72093023255814	5658	2.47826086956522	2.87259858442872	2841	989	0.971512770137525	1	27060.4800079018
145	413	26	4	65.4347826086957	16.5586592178771	26676	33.1449275362319	12.95965238982	20878	1611	0.985924112607099	1	27060.4800079018
177	248	26	4	68.1884057971015	18.9113329418673	32206	24.5072463768116	9.36993540810335	15957	1703	0.984393063583815	1	27060.4800079018
183	374	26	4	99.9565217391305	20.7216117216117	28285	12.7826086956522	5.06153846153846	6909	1365	0.990566037735849	1	27060.4800079018
188	124	26	4	60.3188405797102	19.4471224790949	39536	4.23188405797102	3.68224299065421	7486	2033	0.984980620155039	1	27060.4800079018
199	434	26	4	67.304347826087	18.611685940353	30579	12.9710144927536	5.25136944613512	8628	1643	0.988567990373045	1	27060.4800079018
202	299	26	4	48.1884057971015	15.7267645003494	22505	15.9855072463768	6.2962962962963	9010	1431	0.988259668508287	1	27060.4800079018
220	203	26	4	54.231884057971	16.9647239263804	33183	11.5942028985507	7.65950920245399	14982	1956	0.984894259818731	1	27060.4800079018
230	389	26	4	73.4057971014493	20.0783678756477	31001	51.1594202898551	16.1003886010363	24859	1544	0.980940279542567	1	27060.4800079018
242	79	26	4	52.1594202898551	15.1111833550065	23241	11.3188405797101	5.61638491547464	8638	1538	0.988431876606684	1	27060.4800079018
267	358	26	4	82.4057971014493	19.7728380024361	32467	35.0869565217391	12.9920828258222	21333	1642	0.985594237695078	1	27060.4800079018
271	315	26	4	42.4782608695652	13.1665500349895	18815	42.1449275362319	16.1518544436669	23081	1429	0.98551724137931	1	27060.4800079018
278	274	26	4	36.0434782608696	11.7390300230947	15249	51.1304347826087	20.779830638953	26993	1299	0.98483699772555	1	27060.4800079018
295	136	26	4	39.4057971014492	13.6228273464658	23513	11.5652173913043	5.65469293163384	9760	1726	0.986849628359062	1	27060.4800079018
329	198	26	4	60.7826086956522	16.4651773981603	25060	64.8840579710145	24.4152431011827	37160	1522	0.984476067270375	1	27060.4800079018
366	426	26	4	4.23188405797101	10.3104221143071	27601	10.2753623188406	14.8490847964139	39751	2677	0.945268361581921	1	27060.4800079018
353	242	26	4	50.9855072463768	15.1237830319889	21748	45.9855072463768	16.3470097357441	23507	1438	0.986959505833905	1	27060.4800079018
354	307	26	4	35.927536231884	12.5577889447236	17493	42.6086956521739	15.6726489590811	21832	1393	0.983757062146893	1	27060.4800079018
370	377	26	4	17.2753623188406	11.2891633913532	20106	9.92753623188406	6.83773161145424	12178	1781	0.960625674217907	1	27060.4800079018
424	286	26	4	27.1884057971015	10.5289719626168	16899	15	11.2660436137072	18082	1605	0.988909426987061	1	27060.4800079018
439	459	26	4	59.7826086956522	16.2672758423758	28484	88.0724637681159	31.1850371216448	54605	1751	0.979306487695749	1	27060.4800079018
437	499	26	4	12.6521739130435	7.24418604651163	4984	27.1594202898551	12.8924418604651	8870	688	0.987087517934003	1	27060.4800079018
469	259	26	4	48.2898550724638	13.8415384615385	17994	28.5652173913043	10.5638461538462	13733	1300	0.986342943854325	1	27060.4800079018
490	484	26	4	67.3768115942029	18.8409193330329	41808	10.536231884058	5.79405137449301	12857	2219	0.989300044583148	1	27060.4800079018
503	301	26	4	31.4057971014493	11.2546875	14406	15.6376811594203	7.8015625	9986	1280	0.986892829606785	1	27060.4800079018
516	238	26	4	39.7826086956522	13.4233766233766	20672	55.4202898550725	19.987012987013	30780	1540	0.988446726572529	1	27060.4800079018
514	382	26	4	26.3913043478261	10.1671686746988	13502	21.1594202898551	12.5105421686747	16614	1328	0.985163204747775	1	27060.4800079018
571	462	26	4	29	11.3408360128617	17635	34.4492753623189	12.227652733119	19014	1555	0.982312065698042	1	27060.4800079018
582	312	26	4	39.0289855072464	12.4468085106383	18135	32.6811594202899	13.8270418668497	20146	1457	0.985791610284168	1	27060.4800079018
598	395	26	4	46.6521739130435	13.7375138734739	24755	22.5652173913044	8.8118756936737	15879	1802	0.944444444444444	1	27060.4800079018
625	46	26	4	15.1594202898551	6.10337972166998	3070	6.57971014492754	3.32405566600398	1672	503	0.982421875	1	27060.4800079018
640	399	26	4	54.2608695652174	16.4385403329065	25677	24.3188405797102	8.41997439180538	13152	1562	0.98923369221026	1	27060.4800079018
643	302	26	4	32.1304347826087	6.77241379310345	2946	1.79710144927536	1.4735632183908	641	435	0.986394557823129	1	27060.4800079018
61	231	27	4	13.9855072463768	10.6764112903226	42364	25.1159420289855	22.1824596774194	88020	3968	0.933866792186397	1	28149.1199992597
51	486	27	4	38.3188405797101	13.668584579977	23756	17.5072463768116	8.14614499424626	14158	1738	0.989186112692089	1	28149.1199992597
60	16	27	4	28.5217391304348	12.0977375565611	13368	55.9565217391305	29.2307692307692	32300	1105	0.966754155730534	1	28149.1199992597
77	52	27	4	45.9275362318841	16.4303469704816	31727	13.3623188405797	5.49559813568099	10612	1931	0.969864389753893	1	28149.1199992597
86	428	27	4	4.39130434782609	4.44905956112853	5677	3.30434782608696	3.89028213166144	4964	1276	0.971820258948972	1	28149.1199992597
