trackID	timepoint	centroid_row	centroid_col	value
2	29	56	70	0
7	29	139	91	0
9	29	503	111	0
13	29	230	116	0
11	29	64	127	0
16	29	249	162	0
15	29	122	195	0
21	29	391	225	0
20	29	78	240	0
23	29	354	280	0
25	29	278	286	0
24	29	135	300	0
31	29	193	340	0
28	29	315	346	0
29	29	242	354	0
32	29	282	430	0
33	29	488	489	0
34	29	385	511	0
37	29	236	516	0
39	29	466	574	0
40	29	310	581	0
38	29	398	595	0
41	29	411	636	0
4	28	485	51	0
5	28	233	66	0
2	28	54	70	0
7	28	143	88	0
9	28	503	110	0
13	28	234	119	0
11	28	60	125	0
16	28	246	167	0
15	28	123	188	0
21	28	388	224	0
20	28	78	239	0
23	28	354	276	0
25	28	277	285	0
24	28	136	299	0
31	28	194	338	0
28	28	311	348	0
29	28	243	354	0
32	28	286	429	0
33	28	485	491	0
34	28	384	513	0
37	28	238	516	0
39	28	463	574	0
40	28	310	582	0
38	28	397	595	0
41	28	407	637	0
4	27	486	51	0
5	27	231	61	0
2	27	52	77	0
7	27	136	93	0
9	27	503	110	0
13	27	241	121	0
11	27	61	130	0
16	27	246	173	0
15	27	124	191	0
21	27	387	228	0
20	27	77	242	0
23	27	356	274	0
25	27	276	281	0
24	27	135	296	0
31	27	194	334	0
28	27	309	351	0
29	27	244	354	0
32	27	285	427	0
33	27	487	491	0
34	27	383	513	0
37	27	238	517	0
39	27	461	574	0
40	27	311	582	0
38	27	395	597	0
41	27	403	638	0
4	26	487	48	0
5	26	231	53	0
2	26	52	77	0
7	26	133	95	0
9	26	503	110	0
13	26	246	127	0
11	26	63	131	0
16	26	248	177	0
15	26	124	188	0
21	26	389	230	0
20	26	79	242	0
23	26	358	267	0
25	26	274	278	0
24	26	136	295	0
31	26	198	329	0
29	26	242	353	0
28	26	307	354	0
32	26	286	424	0
33	26	484	490	0
34	26	382	514	0
37	26	238	516	0
39	26	462	571	0
40	26	312	582	0
38	26	395	598	0
41	26	400	640	0
4	25	488	49	0
5	25	232	50	0
2	25	53	82	0
7	25	132	94	0
9	25	503	111	0
13	25	250	130	0
11	25	65	133	0
16	25	250	180	0
15	25	125	190	0
21	25	387	231	0
20	25	81	243	0
23	25	356	263	0
